resource,addressbase-custodian,billing-authority,census-area,combined-authority,end-date,entry-date,esd-inventory,local-authority-type,local-resilience-forum,name,official-name,opendatacommunities-area,opendatacommunities-organisation,organisation,region,shielding-hub,start-date,statistical-geography,twitter,website,wikidata,wikipedia
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-09-01,,,,"Foreign, Commonwealth & Development Office",,,,government-organisation:D13,,,,,,https://www.gov.uk/government/organisations/foreign-commonwealth-office,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2020-09-01,,,,FCO Services,,,,government-organisation:EA61,,,,,,https://www.gov.uk/government/organisations/fco-services,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2019-01-21,,,,UK Council for Internet Safety,,,,government-organisation:OT1268,,,,,,https://www.gov.uk/government/organisations/uk-council-for-internet-safety,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2019-01-21,,,,Employment Agency Standards Inspectorate,,,,government-organisation:OT1267,,,,,,https://www.gov.uk/government/organisations/employment-agency-standards-inspectorate,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2019-01-21,,,,Single Financial Guidance Body,,,,government-organisation:OT1266,,,,,,https://www.gov.uk/government/organisations/single-financial-guidance-body,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2017-03-15,2019-01-07,,,,Royal Parks,,,,government-organisation:EA41,,,,,,https://www.gov.uk/government/organisations/royal-parks,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2016-07-13,2018-10-18,,,,UKTI Education,,,,government-organisation:OT1067,,,,,,https://www.gov.uk/government/organisations/ukti-education,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-07-18,,,,"Department for Digital, Culture, Media and Sport",,,,government-organisation:D5,,,,,,https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-07-09,,,,"Department of Culture, Arts and Leisure Northern Ireland",,,,government-organisation:DA1146,,,,,,,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-06-08,,,,Export Control Joint Unit,,,,government-organisation:OT557,,,,,,https://www.gov.uk/government/organisations/export-control-organisation,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-05-22,,,,Office of the Secretary of State for Scotland,,,,government-organisation:D23,,,,,,https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-scotland,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-04-19,,,,Race Disparity Unit,,,,government-organisation:OT1254,,,,,,https://www.gov.uk/government/organisations/race-disparity-unit,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-04-19,,,,Government Property Agency,,,,government-organisation:EA1255,,,2018-04-01,,,https://www.gov.uk/government/organisations/government-property-agency,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-04-12,,,,Teaching Regulation Agency,,,,government-organisation:EA1256,,,2018-04-01,,,https://www.gov.uk/government/organisations/teaching-regulation-agency,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2018-04-01,2018-04-12,,,,National College for Teaching and Leadership,,,,government-organisation:EA541,,,,,,https://www.gov.uk/government/organisations/national-college-for-teaching-and-leadership,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-03-13,,,,Office for Civil Society,,,,government-organisation:OT1251,,,,,,https://www.gov.uk/government/organisations/office-for-civil-society,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-03-05,,,,Commission for Countering Extremism,,,,government-organisation:OT1249,,,2018-01-24,,,https://www.gov.uk/government/organisations/commission-for-countering-extremism,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-03-05,,,,"Department of Culture, Arts and Leisure",,,,government-organisation:D853,,,,,,https://www.gov.uk/government/organisations/department-of-culture-arts-and-leisure,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2007-05-09,2018-02-05,,,,Department for Constitutional Affairs,,,,government-organisation:D587,,,,,,https://www.gov.uk/government/organisations/department-for-constitutional-affairs,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2010-05-12,2018-02-05,,,,"Department for Children, Schools and Families",,,,government-organisation:D609,,,,,,https://www.gov.uk/government/organisations/department-for-children-schools-and-families,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-02-05,,,,Office for Product Safety and Standards,,,,government-organisation:OT1246,,,2018-01-21,,,https://www.gov.uk/government/organisations/office-for-product-safety-and-standards,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,2009-06-05,2018-02-05,,,,"Department for Business, Enterprise and Regulatory Reform",,,,government-organisation:D611,,,,,,https://www.gov.uk/government/organisations/department-for-business-enterprise-and-regulatory-reform,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-02-05,,,,HM Inspectorate of Constabulary and Fire & Rescue Services,,,,government-organisation:OT281,,,,,,https://www.gov.uk/government/organisations/hm-inspectorate-of-constabulary-and-fire-rescue-services,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-01-09,,,,"Ministry of Housing, Communities and Local Government",,,,government-organisation:D4,,,,,,https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2018-01-09,,,,Department of Health and Social Care,,,,government-organisation:D12,,,,,,https://www.gov.uk/government/organisations/department-of-health-and-social-care,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-12-15,,,,Gangmasters and Labour Abuse Authority,,,,government-organisation:PB200,,,,,,https://www.gov.uk/government/organisations/gangmasters-and-labour-abuse-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-10-23,,,,NHS Resolution,,,,government-organisation:OT488,,,,,,https://www.gov.uk/government/organisations/nhs-litigation-authority,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-06-06,,,,Scottish Government,,,,government-organisation:DA1020,,,,,,https://www.gov.uk/government/organisations/the-scottish-government,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Regulator of Social Housing,,,,government-organisation:PB1218,,,,,,https://www.gov.uk/government/organisations/regulator-of-social-housing,,
cf49bc748be86776f0879995dab3a501c2a8af729782f4a58109d2097bdf0c2c,,,,,,2017-04-25,,,,Education and Skills Funding Agency,,,,government-organisation:EO1216,,,,,,https://www.gov.uk/government/organisations/education-and-skills-funding-agency,,
