row-number,field,issue-type,value
1,organisation,default,government-organisation:D4
1,entry-date,default,2020-12-04
2,organisation,default,government-organisation:D4
2,entry-date,default,2020-12-04
3,organisation,default,government-organisation:D4
3,entry-date,default,2020-12-04
4,organisation,default,government-organisation:D4
4,entry-date,default,2020-12-04
5,organisation,default,government-organisation:D4
5,entry-date,default,2020-12-04
6,organisation,default,government-organisation:D4
6,entry-date,default,2020-12-04
7,organisation,default,government-organisation:D4
7,entry-date,default,2020-12-04
8,organisation,default,government-organisation:D4
8,entry-date,default,2020-12-04
9,organisation,default,government-organisation:D4
9,entry-date,default,2020-12-04
10,organisation,default,government-organisation:D4
10,entry-date,default,2020-12-04
11,organisation,default,government-organisation:D4
11,entry-date,default,2020-12-04
12,organisation,default,government-organisation:D4
12,entry-date,default,2020-12-04
13,organisation,default,government-organisation:D4
13,entry-date,default,2020-12-04
14,organisation,default,government-organisation:D4
14,entry-date,default,2020-12-04
15,organisation,default,government-organisation:D4
15,entry-date,default,2020-12-04
16,organisation,default,government-organisation:D4
16,entry-date,default,2020-12-04
17,organisation,default,government-organisation:D4
17,entry-date,default,2020-12-04
18,organisation,default,government-organisation:D4
18,entry-date,default,2020-12-04
19,organisation,default,government-organisation:D4
19,entry-date,default,2020-12-04
20,organisation,default,government-organisation:D4
20,entry-date,default,2020-12-04
21,organisation,default,government-organisation:D4
21,entry-date,default,2020-12-04
22,organisation,default,government-organisation:D4
22,entry-date,default,2020-12-04
23,organisation,default,government-organisation:D4
23,entry-date,default,2020-12-04
24,organisation,default,government-organisation:D4
24,entry-date,default,2020-12-04
25,organisation,default,government-organisation:D4
25,entry-date,default,2020-12-04
26,organisation,default,government-organisation:D4
26,entry-date,default,2020-12-04
27,organisation,default,government-organisation:D4
27,entry-date,default,2020-12-04
28,organisation,default,government-organisation:D4
28,entry-date,default,2020-12-04
29,organisation,default,government-organisation:D4
29,entry-date,default,2020-12-04
30,organisation,default,government-organisation:D4
30,entry-date,default,2020-12-04
31,organisation,default,government-organisation:D4
31,entry-date,default,2020-12-04
32,organisation,default,government-organisation:D4
32,entry-date,default,2020-12-04
33,organisation,default,government-organisation:D4
33,entry-date,default,2020-12-04
34,organisation,default,government-organisation:D4
34,entry-date,default,2020-12-04
35,organisation,default,government-organisation:D4
35,entry-date,default,2020-12-04
36,organisation,default,government-organisation:D4
36,entry-date,default,2020-12-04
37,organisation,default,government-organisation:D4
37,entry-date,default,2020-12-04
38,organisation,default,government-organisation:D4
38,entry-date,default,2020-12-04
39,organisation,default,government-organisation:D4
39,entry-date,default,2020-12-04
40,organisation,default,government-organisation:D4
40,entry-date,default,2020-12-04
41,organisation,default,government-organisation:D4
41,entry-date,default,2020-12-04
42,organisation,default,government-organisation:D4
42,entry-date,default,2020-12-04
43,organisation,default,government-organisation:D4
43,entry-date,default,2020-12-04
44,organisation,default,government-organisation:D4
44,entry-date,default,2020-12-04
45,organisation,default,government-organisation:D4
45,entry-date,default,2020-12-04
46,organisation,default,government-organisation:D4
46,entry-date,default,2020-12-04
47,organisation,default,government-organisation:D4
47,entry-date,default,2020-12-04
48,organisation,default,government-organisation:D4
48,entry-date,default,2020-12-04
49,organisation,default,government-organisation:D4
49,entry-date,default,2020-12-04
50,organisation,default,government-organisation:D4
50,entry-date,default,2020-12-04
51,organisation,default,government-organisation:D4
51,entry-date,default,2020-12-04
